Reports,LDA_Topic,NMF_Topic,LDA_Topic_Label,NMF_Topic_Label
limited access research database material causing lot frustration among student need better access able succeed academically,0,0,Access & Online learning issues,Access & online barriers
im trouble finding course material need class library doesnt bookstore always sold,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating limited access research database material im trying write paper project feel like im disadvantage compared student school,0,0,Access & Online learning issues,Access & online barriers
im really struggling one class cant get appointment academic advisor week making feel like one care success,2,2,Academic Stress & well being,Emotional & Academic Stress
really struggling understanding instruction assignment clear dont know expected,2,2,Academic Stress & well being,Emotional & Academic Stress
grading system course unfair inconsistent seems like professor picking favorite giving everyone fair shot,2,1,Academic Stress & well being,Student Financial Struggles
wish professor would give u feedback assignment dont know im wrong cant improve without constructive criticism,3,1,Campus facilities & services,Student Financial Struggles
quality teaching course poor professor doesnt seem care material student show lecture,0,0,Access & Online learning issues,Access & online barriers
course fee textbook cost way high barely afford pay everything causing lot stress,1,2,Career & university Opportunities,Emotional & Academic Stress
concerned academic dishonesty plagiarism course professor doesnt seem take seriously making question integrity entire class,2,2,Academic Stress & well being,Emotional & Academic Stress
several honor code violation course really disappointing thought place higher learning respect academic integrity,2,2,Academic Stress & well being,Emotional & Academic Stress
grading rubric course confusing doesnt make sense dont understand grade calculated causing lot anxiety,2,2,Academic Stress & well being,Emotional & Academic Stress
feel like professor doesnt care success course dont give u enough support resource well,2,1,Academic Stress & well being,Student Financial Struggles
textbook course outdated dont provide enough information feel like im getting education paid,2,2,Academic Stress & well being,Emotional & Academic Stress
really frustrated lack transparency course professor doesnt communicate u clearly causing lot confusion,2,2,Academic Stress & well being,Emotional & Academic Stress
teaching assistant course helpful dont know material cant answer question,0,0,Access & Online learning issues,Access & online barriers
grading scale course harsh almost impossible get discouraging trying best,2,2,Academic Stress & well being,Emotional & Academic Stress
disappointed quality education receiving course expected university,2,1,Academic Stress & well being,Student Financial Struggles
professor course disorganized doesnt seem plan learning anything frustrating,2,0,Academic Stress & well being,Access & online barriers
cost attending university outrageous dont know im going afford,1,2,Career & university Opportunities,Emotional & Academic Stress
textbook course helpful poorly written doesnt explain anything clearly,3,2,Campus facilities & services,Emotional & Academic Stress
concerned lack diversity course getting wellrounded education,2,2,Academic Stress & well being,Emotional & Academic Stress
professor course biased affecting grade seem favorite fair,2,2,Academic Stress & well being,Emotional & Academic Stress
workload course overwhelming dont enough time complete everything affecting class,2,2,Academic Stress & well being,Emotional & Academic Stress
wish opportunity extra credit course would help grade encourage learn,3,1,Campus facilities & services,Student Financial Struggles
professor course approachable scared ask help hindering success,0,0,Access & Online learning issues,Access & online barriers
course fee high getting getting money worth,1,2,Career & university Opportunities,Emotional & Academic Stress
grading system course subjective hard know professor want affecting grade,2,2,Academic Stress & well being,Emotional & Academic Stress
professor course disinterested show lecture learning anything frustrating,0,0,Access & Online learning issues,Access & online barriers
textbook course full error mistake hard learn something thats accurate,2,2,Academic Stress & well being,Emotional & Academic Stress
concerned lack academic rigor course,2,2,Academic Stress & well being,Emotional & Academic Stress
limited access technology software hindering ability coursework cant afford buy expensive program,0,0,Access & Online learning issues,Access & online barriers
im trying graduate early course available need take frustrating option limited,0,3,Access & Online learning issues,University & campus experience
online system accessing course material always glitchy hard get work done cant even access assignment,2,0,Academic Stress & well being,Access & online barriers
wish opportunity access research database material outside library would nice option flexibility,3,0,Campus facilities & services,Access & online barriers
really difficult find course material need class theyre spread across many different resource wish streamlined system,0,0,Access & Online learning issues,Access & online barriers
lack available course making hard fulfill degree requirement im worried wont able graduate time,1,2,Career & university Opportunities,Emotional & Academic Stress
im trouble particular software program one class there one available help troubleshoot frustrating feel like im,2,1,Academic Stress & well being,Student Financial Struggles
limited access research database material especially frustrating im trying write thesis original research feel like im hitting wall,2,0,Academic Stress & well being,Access & online barriers
im international student im trouble accessing online resource regional restriction frustrating feel like im missing im,2,2,Academic Stress & well being,Emotional & Academic Stress
im transfer student feel like im disadvantage dont access resource database student started university,2,1,Academic Stress & well being,Student Financial Struggles
im student disability im trouble accessing technology software need coursework frustrating feel like need arent accommodated,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating limited access academic advisor theyre one help plan degree make sure im track graduate,0,0,Access & Online learning issues,Access & online barriers
wish option accessing course material online dont physically go library bookstore every time need something,0,3,Access & Online learning issues,University & campus experience
hard group project limited access technology software put u disadvantage compared group,0,0,Access & Online learning issues,Access & online barriers
im trouble accessing research database material library hour limited theyre often closed time study,0,0,Access & Online learning issues,Access & online barriers
limited access research database material make hard stay uptodate latest development field study feel like im falling behind,0,0,Access & Online learning issues,Access & online barriers
limited access technology software making hard keep pace coursework feel like im constantly playing catchup,2,0,Academic Stress & well being,Access & online barriers
lack available course making hard take elective interest feel like academic option limited,2,3,Academic Stress & well being,University & campus experience
limited access academic advisor making feel like im come making important academic decision,0,0,Access & Online learning issues,Access & online barriers
frustrating limited access academic advisor make difficult plan academic career get guidance need,0,0,Access & Online learning issues,Access & online barriers
im really struggling finding accessing course material making hard keep coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
wish course availability frustrating limited option class able take need,0,0,Access & Online learning issues,Access & online barriers
limited access technology software major issue hindering ability complete assignment keep demand course,0,0,Access & Online learning issues,Access & online barriers
limited access research database material huge problem make difficult complete research assignment write paper,0,0,Access & Online learning issues,Access & online barriers
really frustrating dont better access academic advisor causing lot stress anxiety,2,2,Academic Stress & well being,Emotional & Academic Stress
difficulty finding accessing course material making hard succeed class,0,0,Access & Online learning issues,Access & online barriers
limited course availability huge problem student need option class able meet academic goal,0,0,Access & Online learning issues,Access & online barriers
limited access technology software preventing u able complete assignment time best ability,0,0,Access & Online learning issues,Access & online barriers
really frustrating limited access research database material making hard complete research assignment write paper,0,0,Access & Online learning issues,Access & online barriers
feel like im getting support need academic advisor limited access making difficult plan academic career,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material major source stress student important access need succeed,0,0,Access & Online learning issues,Access & online barriers
limited course availability major issue student need option able take class need,0,0,Access & Online learning issues,Access & online barriers
limited access technology software major problem impacting ability succeed course prepare workforce,0,0,Access & Online learning issues,Access & online barriers
limited access research database material causing lot frustration among student need better access able succeed academically,0,0,Access & Online learning issues,Access & online barriers
really hard succeed academically limited access academic advisor need support,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material barrier success many student important access need succeed,0,0,Access & Online learning issues,Access & online barriers
limited course availability causing lot stress student need option able take class need,0,0,Access & Online learning issues,Access & online barriers
limited access technology software making difficult complete assignment prepare workforce major issue student,0,0,Access & Online learning issues,Access & online barriers
limited access research database material making hard complete assignment write paper need better access,0,0,Access & Online learning issues,Access & online barriers
really frustrating access academic advisor important support able plan academic career,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material major issue important access need succeed academically,0,0,Access & Online learning issues,Access & online barriers
limited course availability impacting ability graduate time meet academic goal need option,0,0,Access & Online learning issues,Access & online barriers
limited access technology software major issue student important access tool need succeed academically workforce,0,0,Access & Online learning issues,Access & online barriers
limited access research database material causing lot frustration student important better access complete coursework,0,0,Access & Online learning issues,Access & online barriers
academic advisor important limited access making difficult plan academic career succeed,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material causing lot stress student,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating able find resource need research project due limited access research database material,0,0,Access & Online learning issues,Access & online barriers
limited course availability making difficult schedule class next semester,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material really hindering ability study effectively,2,2,Academic Stress & well being,Emotional & Academic Stress
lack access academic advisor really concerning especially question course selection career planning,0,0,Access & Online learning issues,Access & online barriers
limited access technology software making difficult complete assignment stay date coursework,0,0,Access & Online learning issues,Access & online barriers
im worried research project wont standard due limited access research database material,0,0,Access & Online learning issues,Access & online barriers
limited course availability making impossible complete degree requirement time,0,0,Access & Online learning issues,Access & online barriers
feel like im falling behind course due difficulty finding accessing course material,2,2,Academic Stress & well being,Emotional & Academic Stress
lack access academic advisor really frustrating especially need help scheduling resolving academic issue,0,2,Access & Online learning issues,Emotional & Academic Stress
limited access technology software impacting ability compete peer prepare future career,0,0,Access & Online learning issues,Access & online barriers
im struggling find necessary course material course due limited access available,0,0,Access & Online learning issues,Access & online barriers
limited access academic advisor making difficult plan academic career get support need,0,0,Access & Online learning issues,Access & online barriers
limited course availability causing adjust academic plan career aspiration,0,0,Access & Online learning issues,Access & online barriers
limited access technology software causing fall behind coursework struggle assignment,0,0,Access & Online learning issues,Access & online barriers
im worried quality research project due limited access research database material,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material causing spend unnecessary time resource trying complete assignment,0,2,Access & Online learning issues,Emotional & Academic Stress
limited access academic advisor causing feel unsupported disconnected academic goal,0,0,Access & Online learning issues,Access & online barriers
limited course availability causing miss valuable academic opportunity experience,0,0,Access & Online learning issues,Access & online barriers
limited access technology software causing use outdated tool resource coursework,0,0,Access & Online learning issues,Access & online barriers
feel like im able reach full academic potential due limited access research database material,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material causing feel stressed overwhelmed coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
limited access academic advisor causing feel lost unsupported academic journey,0,0,Access & Online learning issues,Access & online barriers
im concerned academic achievement career prospect impacted limited course availability,0,0,Access & Online learning issues,Access & online barriers
limited access technology software causing feel unprepared demand modern workforce,0,0,Access & Online learning issues,Access & online barriers
limited access research database material making difficult produce highquality research project assignment,0,0,Access & Online learning issues,Access & online barriers
im struggling keep coursework due difficulty finding accessing course material,2,2,Academic Stress & well being,Emotional & Academic Stress
limited access academic advisor causing feel like im receiving guidance need succeed academically,0,0,Access & Online learning issues,Access & online barriers
limited course availability causing change academic plan goal,0,0,Access & Online learning issues,Access & online barriers
limited access technology software causing feel like im developing skill need succeed future career,0,0,Access & Online learning issues,Access & online barriers
limited access research database material causing feel like im able fully explore academic interest,0,0,Access & Online learning issues,Access & online barriers
difficulty finding accessing course material causing waste time money trying complete assignment,2,2,Academic Stress & well being,Emotional & Academic Stress
limited access academic advisor causing feel like im receiving academic support need,0,0,Access & Online learning issues,Access & online barriers
limited course availability causing feel like im able fully engage academic study,0,0,Access & Online learning issues,Access & online barriers
student remote area im struggling access required course material due limited availability online,0,0,Access & Online learning issues,Access & online barriers
frustrating cant access research database material need assignment theyre available library cant visit,0,0,Access & Online learning issues,Access & online barriers
limited access technology software hindering ability complete coursework best ability,0,0,Access & Online learning issues,Access & online barriers
paying significant amount tuition disappointing cant access resource need study,1,0,Career & university Opportunities,Access & online barriers
limited course availability make difficult plan academic schedule complete degree timely manner,0,0,Access & Online learning issues,Access & online barriers
wish academic advisor available guide degree program answer question,0,1,Access & Online learning issues,Student Financial Struggles
limited access academic resource made difficult achieve grade capable,0,0,Access & Online learning issues,Access & online barriers
struggling find access course material needed class due limited availability library online,0,0,Access & Online learning issues,Access & online barriers
lack access research database material hindering ability conduct thorough research paper,0,0,Access & Online learning issues,Access & online barriers
frustrating access latest technology software especially required certain class,0,0,Access & Online learning issues,Access & online barriers
limited access academic resource preventing fully engaging study reaching full potential,0,0,Access & Online learning issues,Access & online barriers
finding difficult complete assignment due limited access technology software need,0,0,Access & Online learning issues,Access & online barriers
limited access academic resource causing unnecessary stress anxiety negatively affecting academic performance,0,2,Access & Online learning issues,Emotional & Academic Stress
frustrating know research database material could benefit study dont access,0,0,Access & Online learning issues,Access & online barriers
wish academic advisor available guide degree program help make university experience,3,1,Campus facilities & services,Student Financial Struggles
limited course availability causing scheduling conflict making difficult plan academic path,0,0,Access & Online learning issues,Access & online barriers
limited access technology software preventing exploring new field expanding knowledge,0,0,Access & Online learning issues,Access & online barriers
paying access academic resource disappointing theyre readily available,0,0,Access & Online learning issues,Access & online barriers
limited access research database material making difficult complete thesis,0,0,Access & Online learning issues,Access & online barriers
wish opportunity access academic resource extended library hour online resource,0,0,Access & Online learning issues,Access & online barriers
limited access academic resource making difficult pursue academic interest passion,0,0,Access & Online learning issues,Access & online barriers
finding difficult complete assignment time due limited access technology software,0,0,Access & Online learning issues,Access & online barriers
limited access academic resource preventing making university experience achieving academic goal,0,0,Access & Online learning issues,Access & online barriers
limited course availability preventing taking class need complete degree,0,0,Access & Online learning issues,Access & online barriers
wish academic advisor available provide guidance support throughout university experience,3,1,Campus facilities & services,Student Financial Struggles
limited access technology software hindering ability prepare future career,0,0,Access & Online learning issues,Access & online barriers
limited access academic resource creating disadvantage compared student greater access,0,0,Access & Online learning issues,Access & online barriers
limited access research database material making difficult conduct quality research paper,0,0,Access & Online learning issues,Access & online barriers
struggling find access course material need negatively affecting academic performance,0,2,Access & Online learning issues,Emotional & Academic Stress
limited access academic resource making difficult fully engage study take advantage university offer,0,0,Access & Online learning issues,Access & online barriers
im finding academic workload really overwhelming struggle keep assignment,2,2,Academic Stress & well being,Emotional & Academic Stress
course material extremely challenging often feel like dont fully understand,2,2,Academic Stress & well being,Emotional & Academic Stress
ive struggling time management skill lately affecting grade really need get better prioritizing task,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility real challenge often feel like im pulled two different direction,2,2,Academic Stress & well being,Emotional & Academic Stress
im finding difficult balance extracurricular activity academic work im often left feeling stressed overwhelmed,2,2,Academic Stress & well being,Emotional & Academic Stress
lack sleep fatigue real issue lately affecting ability focus stay motivated,2,2,Academic Stress & well being,Emotional & Academic Stress
ive dealing lot stress anxiety lately really tough stay top schoolwork,2,2,Academic Stress & well being,Emotional & Academic Stress
mental health concern major factor academic performance really need prioritize selfcare order succeed,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling keep academic workload causing lot stress anxiety,2,2,Academic Stress & well being,Emotional & Academic Stress
course material really challenging often feel like im head,2,2,Academic Stress & well being,Emotional & Academic Stress
im good managing time often find struggling balance academic work commitment,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility real struggle affecting grade,2,2,Academic Stress & well being,Emotional & Academic Stress
often conflict commitment difficult find time focus schoolwork,2,2,Academic Stress & well being,Emotional & Academic Stress
ive feeling really tired burnt lately hard stay motivated study,2,2,Academic Stress & well being,Emotional & Academic Stress
stress anxiety college life getting im trouble focusing coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
mental health major factor academic performance need prioritize selfcare order succeed,2,2,Academic Stress & well being,Emotional & Academic Stress
im feeling really overwhelmed academic workload im struggling keep everything,2,2,Academic Stress & well being,Emotional & Academic Stress
course material really difficult often feel like dont fully understand,2,2,Academic Stress & well being,Emotional & Academic Stress
im good managing time affecting grade,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility really challenging causing lot stress,2,2,Academic Stress & well being,Emotional & Academic Stress
often conflict commitment tough find time focus schoolwork,2,2,Academic Stress & well being,Emotional & Academic Stress
ive feeling really exhausted lately hard stay motivated study,2,2,Academic Stress & well being,Emotional & Academic Stress
stress anxiety college life really overwhelming affecting mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
im dealing mental health issue affecting academic performance need seek help,2,2,Academic Stress & well being,Emotional & Academic Stress
academic workload really intense lately struggle keep everything,2,2,Academic Stress & well being,Emotional & Academic Stress
course material really challenging often feel like im smart enough understand,2,2,Academic Stress & well being,Emotional & Academic Stress
need work time management skill im constantly feeling behind coursework,2,2,Academic Stress & well being,Emotional & Academic Stress
balancing work academic responsibility real struggle im sure make work,2,2,Academic Stress & well being,Emotional & Academic Stress
lot commitment often conflict schoolwork really hard juggle everything,2,2,Academic Stress & well being,Emotional & Academic Stress
ive feeling really run lately tough stay focused study,2,2,Academic Stress & well being,Emotional & Academic Stress
stress anxiety college life really overwhelming,2,2,Academic Stress & well being,Emotional & Academic Stress
